Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
67,Cuba," 11,12,438.00 "," 8,530.00 "," 11,03,799.00 ", 109.00 ," 1,42,98,479.00 "," 1,13,05,652.00 "
68,Ecuador," 10,51,239.00 "," 35,942.00 "," 10,11,682.00 "," 3,615.00 "," 30,82,403.00 "," 1,81,13,361.00 "
69,UAE," 10,49,409.00 "," 2,348.00 "," 10,32,735.00 "," 14,326.00 "," 19,86,38,806.00 "," 1,00,81,785.00 "
70,Uruguay," 10,32,710.00 "," 7,609.00 "," 10,23,939.00 "," 1,162.00 "," 61,14,822.00 "," 34,96,016.00 "
71,Panama," 10,29,701.00 "," 8,596.00 "," 10,20,206.00 ", 899.00 ," 74,75,016.00 "," 44,46,964.00 "
72,Mongolia," 10,07,871.00 "," 2,179.00 "," 10,05,658.00 ", 34.00 ," 40,30,048.00 "," 33,78,078.00 "
73,Nepal," 10,01,102.00 "," 12,020.00 "," 9,89,064.00 ", 18.00 ," 60,03,944.00 "," 3,02,25,582.00 "
74,Belarus," 9,94,037.00 "," 7,118.00 "," 9,85,592.00 "," 1,327.00 "," 1,36,46,641.00 "," 94,32,800.00 "
75,Latvia," 9,75,355.00 "," 6,218.00 "," 9,68,830.00 ", 307.00 ," 78,58,319.00 "," 18,48,837.00 "
76,Saudi Arabia," 8,27,962.00 "," 9,574.00 "," 8,15,528.00 "," 2,860.00 "," 4,50,48,008.00 "," 3,58,44,909.00 "
77,Azerbaijan," 8,27,944.00 "," 10,085.00 "," 8,17,654.00 ", 205.00 ," 74,87,550.00 "," 1,03,00,205.00 "
78,Paraguay," 8,06,256.00 "," 19,820.00 ", N/A , N/A ," 26,57,506.00 "," 73,05,843.00 "
79,Bahrain," 7,00,452.00 "," 1,543.00 "," 6,98,400.00 ", 509.00 ," 1,06,82,444.00 "," 17,83,983.00 "
80,Sri Lanka," 6,71,989.00 "," 16,828.00 "," 6,55,158.00 ", 3.00 ," 64,86,117.00 "," 2,15,75,842.00 "
81,Kuwait," 6,62,858.00 "," 2,570.00 "," 6,60,237.00 ", 51.00 ," 84,55,743.00 "," 43,80,326.00 "
82,Dominican Republic," 6,60,095.00 "," 4,384.00 "," 6,44,785.00 "," 10,926.00 "," 37,40,928.00 "," 1,10,56,370.00 "
83,Cyprus," 6,42,663.00 "," 1,287.00 "," 6,33,422.00 "," 7,954.00 "," 96,40,118.00 "," 12,23,387.00 "
84,Myanmar," 6,33,820.00 "," 19,490.00 "," 6,14,299.00 ", 31.00 ," 99,41,945.00 "," 5,52,27,143.00 "
85,Palestine," 6,21,008.00 "," 5,404.00 "," 6,15,445.00 ", 159.00 ," 30,78,533.00 "," 53,45,541.00 "
86,Estonia," 6,13,891.00 "," 2,912.00 "," 5,24,990.00 "," 85,989.00 "," 36,59,157.00 "," 13,21,910.00 "
87,Moldova," 5,98,673.00 "," 11,953.00 "," 5,04,142.00 "," 82,578.00 "," 32,16,305.00 "," 40,13,171.00 "
88,Venezuela," 5,51,587.00 "," 5,845.00 "," 5,45,003.00 ", 739.00 ," 33,59,014.00 "," 2,92,66,991.00 "
89,Egypt," 5,15,645.00 "," 24,613.00 "," 4,42,182.00 "," 48,850.00 "," 36,93,367.00 "," 10,61,56,692.00 "
90,Libya," 5,07,162.00 "," 6,437.00 "," 5,00,721.00 ", 4.00 ," 24,83,446.00 "," 70,40,745.00 "
91,China," 5,03,302.00 "," 5,272.00 "," 3,79,053.00 "," 1,18,977.00 "," 16,00,00,000.00 ",
92,Ethiopia," 4,99,531.00 "," 7,572.00 "," 4,86,531.00 "," 5,428.00 "," 54,59,809.00 "," 12,08,12,698.00 "
93,Qatar," 4,92,534.00 ", 686.00 ," 4,91,585.00 ", 263.00 ," 40,65,369.00 "," 29,79,915.00 "
94,Réunion," 4,85,895.00 ", 919.00 ," 4,18,572.00 "," 66,404.00 "," 16,03,660.00 "," 9,08,061.00 "
95,Honduras," 4,70,757.00 "," 11,104.00 ", N/A , N/A ," 16,19,676.00 "," 1,02,21,247.00 "
96,Armenia," 4,46,008.00 "," 8,717.00 "," 4,35,162.00 "," 2,129.00 "," 32,42,901.00 "," 29,71,966.00 "
97,Bosnia and Herzegovina," 4,01,384.00 "," 16,255.00 "," 3,79,084.00 "," 6,045.00 "," 18,84,721.00 "," 32,49,317.00 "
98,Oman," 3,99,449.00 "," 4,628.00 "," 3,84,669.00 "," 10,152.00 "," 2,50,00,000.00 "," 53,23,993.00 "
99,North Macedonia," 3,46,428.00 "," 9,638.00 "," 3,36,623.00 ", 167.00 ," 22,16,193.00 "," 20,81,304.00 "
100,Kenya," 3,42,810.00 "," 5,688.00 "," 3,37,040.00 ", 82.00 ," 39,67,062.00 "," 5,62,15,221.00 "
101,Zambia," 3,40,763.00 "," 4,047.00 "," 3,35,104.00 "," 1,612.00 "," 38,65,993.00 "," 1,94,70,234.00 "
102,Albania," 3,34,167.00 "," 3,595.00 "," 3,28,951.00 "," 1,621.00 "," 19,41,032.00 "," 28,66,374.00 "
103,Botswana," 3,29,227.00 "," 2,800.00 "," 3,25,934.00 ", 493.00 ," 20,26,898.00 "," 24,41,162.00 "
104,Luxembourg," 2,97,757.00 "," 1,133.00 "," 2,88,991.00 "," 7,633.00 "," 44,12,567.00 "," 6,42,371.00 "
105,Montenegro," 2,86,355.00 "," 2,797.00 "," 2,83,210.00 ", 348.00 ," 26,97,814.00 "," 6,27,950.00 "
106,Brunei," 2,75,220.00 ", 225.00 ," 2,43,601.00 "," 31,394.00 "," 7,17,784.00 "," 4,45,431.00 "
107,Algeria," 2,71,378.00 "," 6,881.00 "," 1,82,749.00 "," 81,748.00 "," 2,30,861.00 "," 4,53,50,148.00 "
108,Nigeria," 2,66,463.00 "," 3,155.00 "," 2,59,850.00 "," 3,458.00 "," 57,08,974.00 "," 21,67,46,934.00 "
109,Zimbabwe," 2,61,606.00 "," 5,652.00 "," 2,54,951.00 "," 1,003.00 "," 25,25,756.00 "," 1,53,31,428.00 "
110,Uzbekistan," 2,50,567.00 "," 1,637.00 "," 2,41,486.00 "," 7,444.00 "," 13,77,915.00 "," 3,43,82,084.00 "
111,Mozambique," 2,31,994.00 "," 2,233.00 "," 2,28,805.00 ", 956.00 ," 13,71,127.00 "," 3,30,89,461.00 "
112,Martinique," 2,29,687.00 "," 1,097.00 ", N/A , N/A ," 8,28,928.00 "," 3,74,087.00 "
113,Laos," 2,17,973.00 ", 758.00 , N/A , N/A ," 12,33,207.00 "," 74,81,023.00 "
114,Iceland," 2,08,688.00 ", 229.00 , N/A , N/A ," 19,96,384.00 "," 3,45,393.00 "
115,Afghanistan," 2,08,545.00 "," 7,882.00 "," 1,86,088.00 "," 14,575.00 "," 11,88,898.00 "," 4,07,54,388.00 "
116,Kyrgyzstan," 2,06,592.00 "," 2,991.00 "," 1,96,406.00 "," 7,195.00 "," 19,07,195.00 "," 67,28,271.00 "
117,El Salvador," 2,01,785.00 "," 4,230.00 "," 1,79,410.00 "," 18,145.00 "," 26,10,114.00 "," 65,50,389.00 "
118,Guadeloupe," 2,01,394.00 "," 1,007.00 ", N/A , N/A ," 9,38,039.00 "," 3,99,794.00 "
119,Trinidad and Tobago," 1,87,908.00 "," 4,326.00 "," 1,83,264.00 ", 318.00 ," 8,88,936.00 "," 14,06,585.00 "
120,Maldives," 1,85,715.00 ", 311.00 ," 1,63,687.00 "," 21,717.00 "," 22,13,831.00 "," 5,40,985.00 "
121,Ghana," 1,71,112.00 "," 1,462.00 "," 1,69,636.00 ", 14.00 ," 25,27,319.00 "," 3,23,95,450.00 "
122,Namibia," 1,70,741.00 "," 4,088.00 "," 1,66,452.00 ", 201.00 ," 10,62,663.00 "," 26,33,874.00 "
123,Uganda," 1,70,400.00 "," 3,630.00 "," 1,00,431.00 "," 66,339.00 "," 30,12,408.00 "," 4,84,32,863.00 "
124,Jamaica," 1,53,407.00 "," 3,480.00 "," 1,02,212.00 "," 47,715.00 "," 11,83,986.00 "," 29,85,094.00 "
125,Cambodia," 1,38,693.00 "," 3,056.00 "," 1,35,624.00 ", 13.00 ," 30,91,420.00 "," 1,71,68,639.00 "
126,Rwanda," 1,33,090.00 "," 1,468.00 "," 1,31,559.00 ", 63.00 ," 59,59,042.00 "," 1,36,00,464.00 "
127,Cameroon," 1,23,993.00 "," 1,965.00 "," 1,18,616.00 "," 3,412.00 "," 17,51,774.00 "," 2,79,11,548.00 "
128,Malta," 1,17,062.00 ", 824.00 ," 1,15,623.00 ", 615.00 ," 21,09,235.00 "," 4,44,033.00 "
129,Barbados," 1,06,157.00 ", 571.00 ," 1,05,570.00 ", 16.00 ," 7,90,354.00 "," 2,88,023.00 "
130,Angola," 1,05,184.00 "," 1,931.00 "," 1,03,216.00 ", 37.00 ," 14,99,795.00 "," 3,50,27,343.00 "
131,Channel Islands," 1,01,116.00 ", 223.00 ," 1,00,778.00 ", 115.00 ," 12,52,808.00 "," 1,76,463.00 "
132,French Guiana," 98,028.00 ", 420.00 ," 11,254.00 "," 86,354.00 "," 6,51,257.00 "," 3,14,169.00 "
133,DRC," 95,514.00 "," 1,463.00 "," 84,264.00 "," 9,787.00 "," 8,46,704.00 "," 9,52,40,792.00 "
134,Senegal," 88,902.00 "," 1,971.00 "," 86,929.00 ", 2.00 ," 11,46,543.00 "," 1,76,53,671.00 "
135,Malawi," 88,559.00 "," 2,686.00 "," 85,369.00 ", 504.00 ," 6,24,784.00 "," 2,01,80,839.00 "
136,Ivory Coast," 87,982.00 ", 833.00 ," 87,138.00 ", 11.00 ," 16,71,684.00 "," 2,77,42,298.00 "
137,Suriname," 82,020.00 "," 1,398.00 ", N/A , N/A ," 2,39,603.00 "," 5,96,831.00 "
138,New Caledonia," 79,845.00 ", 314.00 ," 79,526.00 ", 5.00 ," 98,964.00 "," 2,90,915.00 "
139,French Polynesia," 77,957.00 ", 649.00 , N/A , N/A ,," 2,84,164.00 "
140,Eswatini," 74,133.00 "," 1,422.00 "," 72,676.00 ", 35.00 ," 10,48,704.00 "," 11,84,817.00 "
141,Guyana," 72,950.00 "," 1,294.00 "," 71,357.00 ", 299.00 ," 7,17,867.00 "," 7,94,045.00 "
142,Belize," 70,660.00 ", 688.00 ," 69,949.00 ", 23.00 ," 5,76,016.00 "," 4,12,190.00 "
143,Fiji," 68,820.00 ", 883.00 ," 66,780.00 "," 1,157.00 "," 6,67,715.00 "," 9,09,466.00 "
144,Madagascar," 67,827.00 "," 1,419.00 "," 66,370.00 ", 38.00 ," 5,24,209.00 "," 2,91,78,077.00 "
145,Sudan," 63,742.00 "," 5,001.00 "," 58,284.00 ", 457.00 ," 5,62,941.00 "," 4,59,92,020.00 "
146,Mauritania," 63,665.00 ", 997.00 ," 62,437.00 ", 231.00 ," 10,09,957.00 "," 49,01,981.00 "
147,Cabo Verde," 63,229.00 ", 413.00 ," 62,756.00 ", 60.00 ," 4,01,622.00 "," 5,67,678.00 "
148,Bhutan," 62,605.00 ", 21.00 ," 61,564.00 "," 1,020.00 "," 23,03,734.00 "," 7,87,941.00 "
149,Syria," 57,453.00 "," 3,164.00 "," 54,289.00 ", -   ," 1,46,269.00 "," 1,93,64,809.00 "
150,Burundi," 53,492.00 ", 38.00 ," 53,394.00 ", 60.00 ," 3,45,742.00 "," 1,26,24,840.00 "
151,Seychelles," 50,665.00 ", 172.00 ," 50,440.00 ", 53.00 ,," 99,426.00 "
152,Gabon," 48,981.00 ", 306.00 ," 48,674.00 ", 1.00 ," 16,21,909.00 "," 23,31,533.00 "
153,Andorra," 47,839.00 ", 165.00 ," 47,563.00 ", 111.00 ," 2,49,838.00 "," 77,463.00 "
154,Papua New Guinea," 46,750.00 ", 670.00 ," 43,982.00 "," 2,098.00 "," 2,49,149.00 "," 92,92,169.00 "
155,Curaçao," 45,986.00 ", 295.00 ," 44,720.00 ", 971.00 ," 4,96,693.00 "," 1,65,529.00 "
156,Aruba," 43,993.00 ", 236.00 ," 42,438.00 "," 1,319.00 "," 1,77,885.00 "," 1,07,609.00 "
157,Tanzania," 42,664.00 ", 846.00 , N/A , N/A ,," 6,32,98,550.00 "
158,Mayotte," 42,002.00 ", 188.00 , N/A , N/A ," 1,76,919.00 "," 2,86,259.00 "
159,Mauritius," 41,652.00 "," 1,043.00 "," 39,943.00 ", 666.00 ," 3,58,675.00 "," 12,74,727.00 "
160,Togo," 39,354.00 ", 290.00 ," 39,061.00 ", 3.00 ," 8,06,803.00 "," 86,80,837.00 "
161,Guinea," 38,240.00 ", 467.00 ," 37,757.00 ", 16.00 ," 6,60,107.00 "," 1,38,65,691.00 "
162,Isle of Man," 38,008.00 ", 116.00 , N/A , N/A ," 1,50,753.00 "," 85,732.00 "
163,Bahamas," 37,491.00 ", 833.00 ," 36,366.00 ", 292.00 ," 2,57,839.00 "," 4,00,516.00 "
164,Lesotho," 34,790.00 ", 723.00 ," 25,980.00 "," 8,087.00 "," 4,31,221.00 "," 21,75,699.00 "
165,Faeroe Islands," 34,658.00 ", 28.00 , N/A , N/A ," 7,78,000.00 "," 49,233.00 "
166,Haiti," 34,076.00 ", 860.00 ," 33,033.00 ", 183.00 ," 1,32,422.00 "," 1,16,80,283.00 "
167,Mali," 32,783.00 ", 743.00 ," 31,957.00 ", 83.00 ," 7,89,342.00 "," 2,14,73,764.00 "
168,Cayman Islands," 31,472.00 ", 37.00 ," 8,553.00 "," 22,882.00 "," 2,22,773.00 "," 67,277.00 "
169,Saint Lucia," 29,803.00 ", 409.00 ," 29,095.00 ", 299.00 ," 2,10,983.00 "," 1,85,113.00 "
170,Benin," 27,989.00 ", 163.00 ," 27,823.00 ", 3.00 ," 6,04,310.00 "," 1,27,84,726.00 "
171,Somalia," 27,318.00 "," 1,361.00 "," 13,182.00 "," 12,775.00 "," 4,00,466.00 "," 1,68,41,795.00 "
172,Congo," 25,375.00 ", 386.00 ," 24,006.00 ", 983.00 ," 3,47,815.00 "," 57,97,805.00 "
173,Solomon Islands," 24,575.00 ", 153.00 , N/A , N/A ,," 7,21,159.00 "
174,San Marino," 23,427.00 ", 122.00 ," 23,276.00 ", 29.00 ," 1,57,634.00 "," 34,085.00 "
175,Timor-Leste," 23,415.00 ", 138.00 ," 23,102.00 ", 175.00 ," 2,78,529.00 "," 13,69,429.00 "
176,Micronesia," 22,676.00 ", 58.00 , N/A , N/A ," 54,967.00 "," 1,17,489.00 "
177,Burkina Faso," 22,025.00 ", 396.00 ," 21,596.00 ", 33.00 ," 2,48,995.00 "," 2,21,02,838.00 "
178,Liechtenstein," 21,340.00 ", 89.00 ," 21,237.00 ", 14.00 ," 1,12,457.00 "," 38,387.00 "
179,Gibraltar," 20,399.00 ", 111.00 ," 16,579.00 "," 3,709.00 "," 5,34,283.00 "," 33,704.00 "
180,Grenada," 19,680.00 ", 238.00 ," 19,358.00 ", 84.00 ," 1,82,981.00 "," 1,13,475.00 "
181,Bermuda," 18,766.00 ", 157.00 ," 18,593.00 ", 16.00 ," 10,24,947.00 "," 61,939.00 "
182,Nicaragua," 18,491.00 ", 225.00 ," 4,225.00 "," 14,041.00 ",," 67,79,100.00 "
183,South Sudan," 18,368.00 ", 138.00 ," 18,115.00 ", 115.00 ," 4,10,280.00 "," 1,16,18,511.00 "
184,Tajikistan," 17,786.00 ", 125.00 ," 17,264.00 ", 397.00 ,," 99,57,464.00 "
185,Equatorial Guinea," 17,190.00 ", 183.00 ," 16,883.00 ", 124.00 ," 3,65,697.00 "," 14,96,662.00 "
186,Tonga," 16,734.00 ", 13.00 ," 15,638.00 "," 1,083.00 "," 5,35,009.00 "," 1,07,749.00 "
187,Samoa," 16,087.00 ", 29.00 ," 1,605.00 "," 14,453.00 "," 1,87,397.00 "," 2,02,239.00 "
188,Monaco," 16,056.00 ", 65.00 ," 15,982.00 ", 9.00 ," 78,646.00 "," 39,783.00 "
189,Dominica," 15,760.00 ", 74.00 ," 15,673.00 ", 13.00 ," 2,29,344.00 "," 72,344.00 "
190,Djibouti," 15,690.00 ", 189.00 ," 15,427.00 ", 74.00 ," 3,05,941.00 "," 10,16,097.00 "
191,Marshall Islands," 15,584.00 ", 17.00 ," 15,528.00 ", 39.00 ,," 60,057.00 "
192,CAR," 15,368.00 ", 113.00 ," 15,200.00 ", 55.00 ," 81,294.00 "," 50,16,678.00 "
193,Gambia," 12,586.00 ", 372.00 ," 12,189.00 ", 25.00 ," 1,55,686.00 "," 25,58,482.00 "
194,Saint Martin," 12,233.00 ", 63.00 ," 1,399.00 "," 10,771.00 "," 1,12,382.00 "," 39,730.00 "
195,Vanuatu," 12,014.00 ", 14.00 ," 11,976.00 ", 24.00 ," 24,976.00 "," 3,21,832.00 "
196,Greenland," 11,971.00 ", 21.00 ," 2,761.00 "," 9,189.00 "," 1,64,926.00 "," 56,973.00 "
197,Yemen," 11,945.00 "," 2,159.00 "," 9,124.00 ", 662.00 ," 3,29,592.00 "," 3,11,54,867.00 "
198,Caribbean Netherlands," 11,661.00 ", 38.00 ," 10,476.00 "," 1,147.00 "," 30,126.00 "," 26,647.00 "
199,Sint Maarten," 11,010.00 ", 89.00 ," 10,905.00 ", 16.00 ," 62,056.00 "," 43,966.00 "
200,Eritrea," 10,189.00 ", 103.00 ," 10,086.00 ", -   ," 23,693.00 "," 36,62,244.00 "
201,Niger," 9,931.00 ", 312.00 ," 8,890.00 ", 729.00 ," 2,54,538.00 "," 2,60,83,660.00 "
202,St. Vincent Grenadines," 9,585.00 ", 123.00 ," 9,454.00 ", 8.00 ," 1,13,504.00 "," 1,11,551.00 "
203,Antigua and Barbuda," 9,106.00 ", 146.00 ," 8,954.00 ", 6.00 ," 18,901.00 "," 99,509.00 "
204,Comoros," 8,992.00 ", 161.00 ," 8,827.00 ", 4.00 ,," 9,07,419.00 "
205,Guinea-Bissau," 8,947.00 ", 176.00 ," 8,656.00 ", 115.00 ," 1,45,231.00 "," 20,63,367.00 "
206,Liberia," 8,062.00 ", 294.00 ," 7,766.00 ", 2.00 ," 1,39,824.00 "," 53,05,117.00 "
